PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40686087,Lutetium-Based Nanoprobes for Radiosensitization with Immune Microenvironment Remodeling and NIR-II Fluorescence Imaging-Guided Surgery in Colorectal Cancer.,2025,Haina Tian,"School of Chemistry and Materials Engineering & Engineering Research Center of Biomass Conversion and Pollution Prevention Control of Anhui Provincial Department of Education, Fuyang Normal University, Fuyang, 236037, P. R. China.",
40686031,Population Pharmacokinetic and Pharmacokinetic-Pharmacodynamic Modeling of Serum M-Protein Response for Modakafusp Alfa in a Phase 1/2 Study of Patients With Relapsed or Refractory Multiple Myeloma.,2025,Lili Yang; Donald E Mager; Neeraj Gupta; Xavier Parot; Sarah F Cook; Cheryl Li; Kaveri Suryanarayan; Andrew Santulli; Scott Van Wart,"Enhanced Pharmacodynamics, LLC, Buffalo, New York, USA.; Translational Biomarkers and Bioanalytics, Takeda Development Center Americas, Inc. (TDCA), Lexington, Massachusetts, USA.; Clinical Science, Takeda Development Center Americas, Inc. (TDCA), Lexington, Massachusetts, USA.; Quantitative Clinical Pharmacology, Takeda Development Center Americas, Inc. (TDCA), Lexington, Massachusetts, USA.",
40686015,Genetic Insights Into the Link Between Restless Legs Syndrome and Diabetic Nephropathy Risk.,2025,Xiaorui Cai; Yun Lin; Xiaoling Tang; Haohao Chen,"Department of Pharmacy, The Affiliated Cancer Hospital of Shantou University Medical College, Shantou, Guangdong Province, China.; Department of Nephrology, Shantou Central Hospital, Shantou, Guangdong Province, China.; Department of Pharmacy, Shantou Central Hospital, Shantou, Guangdong Province, China.; Department of Pharmacy, The First Affiliated Hospital of Shantou University Medical College, Shantou, Guangdong Province, China.",
40686009,"Neoadjuvant immunotherapy in a solitary, isolated peritoneal mesothelioma involving the abdominal wall: a case report.",2025,Ryan Le,"Department of Emergency Medicine, University of Arkansas for Medical Sciences, Little Rock, AR, USA.",
40685969,"Clinical characteristics, healthcare resource use, and survival outcomes among patients with advanced NSCLC tested for KRAS mutations in France, the United Kingdom, and Switzerland.",2025,Björn Stollenwerk; Joseph Milce; Ihtisham Sultan; Bastien Vincent,"Health Economics and Outcomes Research, Amgen (Europe) GmbH, Rotkreuz, Switzerland.; Cerner Enviza, an Oracle company, Paris, France.; Health Economics and Outcomes Research, Amgen Inc., Thousand Oaks, CA, USA.",
40685936,A Self-Adaptive Rhodium(I) Complex-Based Nanoplatform with Type II Immunogenic Cell Death for Near-Infrared Phosphorescence Imaging and Cancer Immunotherapy.,2025,Wang Xiang; Xinping Liu; Zongtao Zhou; Zhi Zheng; Suisui He; Tao Kuang; Jun Wang; Hua Wei; Ying Liu; Cui-Yun Yu,"Hunan Province Cooperative Innovation Center for Molecular Target New Drug Study, School of Pharmaceutical Science, Hengyang Medical School, University of South China, Hengyang, 421001, China.",
40685918,Suppressing t(4;11) Acute Leukemia by Lipopolymer Nanoparticle Delivery of siRNA Targeting KMT2A::AFF1 with Enhanced Extrahepatic Delivery.,2025,Olaf Heidenreich; Mohammad Nasrullah; Hasan Uludağ,"Faculty of Pharmacy and Pharmaceutical Sciences, University of Alberta, Edmonton, AB, T6G 2H1, Canada.; Princess Maxima Center for Pediatric Oncology, Utrecht, CS, 3584, The Netherlands.",
40685883,Systemic treatment of immune checkpoint inhibitor-induced psoriasis: Inference-based guidance.,2025,Jennifer Beecker; Maxwell B Sauder; Kim A Papp,"Probity Medical Research Inc., Waterloo, Ontario, Canada.",
40685882,Cancer-Specific and Pro-Apoptotic PEGylated Liposomes Containing SMAC-Mimetic Doxorubicin Prodrug for Safe High-Dose Delivery in Pancreatic Cancer.,2025,Yeonjin Kim; Nayeon Shim; Kwangmeyung Kim; Hyeonji Yoo; Jinseong Kim,"Graduate School of Pharmaceutical Sciences, College of Pharmacy, Ewha Womans University, Seoul, 03760, Republic of Korea.",
40685856,Boosting Sonodynamic/Gas/Chemo Therapy through Triple Inhibiting Multidrug Resistance Using Responsive Biodegradable Sulfide-Vacancy-Rich Nanosheets.,2025,Ruixin Luo; Dongmiao Cao; Xuebo Yin; Xijian Liu; Yu Luo; Kaiyang Wang; Jie Lu; Aihong Chen; Wei Xia,"School of Chemistry and Chemical Engineering, Shanghai Frontiers Science Research Center for Druggability of Cardiovascular noncoding RNA, Shanghai Engineering Technology Research Center for Pharmaceutical Intelligent Equipment, Institute for Frontier Medical Technology, Shanghai University of Engineering Science, Shanghai, 201620, China.",
40685849,The impact of the 1997 Office of Management and Budget standards for collecting multiracial data on the assessment of race-specific cancer rates of incidence and mortality in the United States.,2025,Steve Scoppa; James Todd Gibson,"Information Management Services Inc, Calverton, Maryland, USA.",
40685841,Ro 31-8220 suppresses bladder cancer progression via enhancing autophagy in vitro and in vivo.,2025,Hui Cheng; Yan Tao; Jianzhong Lu; Shan Wu; Shanhui Liu; Lanlan Li; Shengjun Fu,"Second Provincial People's Hospital of Gansu, Pathology department, Affiliated hospital of Northwest Minzu University, Lanzhou, Gansu, China.; Insititue of Urology, Gansu Province Clinical Research Center for Urinary System Disease, Lanzhou University Second Hospital, Lanzhou, Gansu, China.; Gansu Provincial Center for Disease Control and Prevention, Lanzhou, Gansu, China.",
40685827,Nanocarrier-enabled delivery of natural antiobesity agents.,2025,Yu-Ting Wang; Jia-You Fang; Ahmed Alalaiwe,"Department of Pharmaceutics, College of Pharmacy, Prince Sattam Bin Abdulaziz University, Al Kharj, Saudi Arabia.; Pharmaceutics Laboratory, Graduate Institute of Natural Products, Chang Gung University, Taoyuan, Taiwan.",
40685826,BSA-Coated Copper Ferrite Nanoparticles Loaded with Doxorubicin for Synergistic Ferroptosis-Chemotherapy for Cancer Treatment.,2025,Jin Cao; Song Shen,"College of Pharmaceutical Sciences, Jiangsu University, Zhenjiang, Jiangsu 212013, China.",
40685820,"Exploring the Anticancer, Anti-Inflammatory, and Antibiofilm Efficacy of Endemic Stachys longiflora: Insights into the Phytochemical Composition.",2025,Ecem Güldar; Sevim Feyza Erdoğmuş; Cengiz Sarikurkcu,"Department of Basic Pharmaceutical Sciences, Faculty of Pharmacy, Afyonkarahisar Health Sciences University, Afyonkarahisar, 03030, Turkey.; Department of Pharmaceutical Microbiology, Faculty of Pharmacy, Afyonkarahisar Health Sciences University, Afyonkarahisar, 03030, Turkey.; Department of Analytical Chemistry, Faculty of Pharmacy, Afyonkarahisar Health Sciences University, Afyonkarahisar, 03030, Turkey.",
40685812,New Thiadiazole-Benzenesulfonamide Hybrids as Dual B-Raf/VEGFR-2 Inhibitors With Promising Anti-Hepatic Cancer Activity.,2025,Eslam B Elkaeed; Aisha A Alsfouk; Ahmed M Metwaly; Hazem Elkady; Hazem A Mahdy; Ibrahim H Eissa; Mohamed Hagras,"Pharmaceutical Medicinal Chemistry and Drug Design Department, Faculty of Pharmacy (Boys), Al-Azhar University, Cairo, Egypt.; Pharmacognosy and Medicinal Plants Department, Faculty of Pharmacy (Boys), Al-Azhar University, Cairo, Egypt.; Department of Pharmaceutical Organic Chemistry, College of Pharmacy (Boys), Al-Azhar University, Cairo, Egypt.; Department of Pharmaceutical Sciences, College of Pharmacy, AlMaarefa University, Riyadh, Saudi Arabia.; Department of Pharmaceutical Sciences, College of Pharmacy, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia.",
40685791,The Molecular Mechanisms Underlying the Antineoplastic Profile of Vitexin 2″-O-α-L-Rhamnopyranoside From Cordyline australis (G.Frost.): Isolation and Constituent Profiling.,2025,Rehab F Taher; Mona A Raslan; Marwa M Mounier,"Natural Compounds Chemistry Department, Pharmaceutical and Drug Industries Research Institute, National Research Centre, Dokki, Giza, Egypt.; Pharmacognosy Department, Pharmaceutical and Drug Industries Research Institute, National Research Centre, Dokki, Giza, Egypt.",
40685776,A predictive serum miRNA signature impacts diffuse large B-cell lymphoma cell viability via inhibition of EGLN1 and TXNRD1 regulators of ferroptosis.,2025,Ana Belén Díaz Méndez; Marta Di Giuliani; Giulia Regazzo; Maria Giulia Rizzo; Giulia Vari,"Department of Research, Advanced Diagnostics and Technological Innovation, Translational Oncology Research Unit, IRCCS - Regina Elena National Cancer Institute, Rome, Italy.",
40685759,Transcriptomic profiling reveals crizotinib-induced hepatotoxicity through ROS-mediated activation of the JNK/NLRP3 pathway.,2025,Yucheng Li; Menglin Wang; Jiduo Shen; Zhouli Yue,"Collaborative Innovation Center for Research and Development on the Whole Industry Chain of Yu-Yao in Henan Province, Henan University of Chinese Medicine, Zhengzhou, 450046, China.",
40685755,Targeted Intracellular Copper Reservoir Enhances Liver Cancer Immunotherapy.,2025,Taorui Yang,"College of Pharmaceutical Sciences, Zhejiang University, Hangzhou, 310058, P. R. China.",
40685745,Decoding hepatitis B virus mutations that impact host-virus interactions and therapeutics.,2025,Harshni Venkatesan,"Department of Biotechnology, Anna University, Chennai 600 025, India.",
40685728,Innovative Nanocarriers: Magnetosomes in the Fight against Cancer.,2025,Shivani Yadav; Manoj Kumar Mishra,"Department of Pharmaceutics, Shambhunath Institute of Pharmacy, Jhalwa, Prayagraj, Uttar Pradesh, 211015, India.",
40685727,A Comprehensive Review of Nanotechnology Based Nanoemulsion Delivery Systems for Targeted Drug Delivery and Enhanced Therapeutic Efficacy.,2025,Mukesh Kumar; Divya Pathak,"Department of Pharmacy, IIMT College of Medical Sciences, IIMT University, Meerut, 250001, U.P., India.",
40685722,Nanosponges in Detoxification: Strategy for Toxin Removal and Drug Overdose Management.,2025,Shikha Baghel Chauhan; Indu Singh; Khushi; Nishtha Sakhuja; Chirag Jain,"Amity Institute of Pharmacy, Amity University, Noida, UP- 201313, India.",
40685652,Androgen receptor expression in triple negative breast cancer: an Algerian population study.,2025,Karim Houali,"Laboratory of Analytic Biochemistry and Biotechnology (LABAB), Department of Biochemistry and Microbiology, Faculty of Biological and Agronomic Sciences, Mouloud Mammeri University, Tizi-Ouzou, Algeria.",
